,play,bpm,volume,sync,seq,pitch,rest,varname,chord,newline,{,->,*,+,++,-,--,>,>>,<,<<,num,(,[,octave,time,},",",),.,],~,EOF,PROG,ELEMSR,ELEM,ELEM2,VAR,NUM2,ELEMS,SEQ,SYNC,PLAY,CHORD,SUBBODY,NOTE,SUBNOTE,OCTAVE,REST,TIME
92,,,,,,,,,,REDUCE 34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,SHIFT 7,SHIFT 8,SHIFT 15,SHIFT 16,SHIFT 17,SHIFT 18,SHIFT 19,SHIFT 20,,,,,,,,,,,,,,,,,,REDUCE 29,,,,,,,,,75,6,13,,106,10,9,,14,,11,,,12,
94,,,,,,,,,,,,,,,,,,,,,,,,,,,SHIFT 107,,,,,,,,,,,,,,,,,,,,,,,
95,,,,,,,,,,REDUCE 37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,,,,,,,,,REDUCE 34,,REDUCE 34,REDUCE 34,REDUCE 34,REDUCE 34,REDUCE 34,REDUCE 34,REDUCE 34,REDUCE 34,REDUCE 34,REDUCE 34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,,,,,,,,,,,,,SHIFT 108,,,,,,,,,,,,,,,,,,,,,,,
98,,,,,,,,,,REDUCE 37,,REDUCE 37,REDUCE 37,REDUCE 37,REDUCE 37,REDUCE 37,REDUCE 37,REDUCE 37,REDUCE 37,REDUCE 37,REDUCE 37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SHIFT 109,,,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SHIFT 110,,,,,,,,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REDUCE 48,SHIFT 111,,,,,,,,,,,,,,,,,,,,
102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REDUCE 49,SHIFT 112,,,,,,,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SHIFT 113,,,,,,,,,,,,,,,,,,,
104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REDUCE 27,,,,,,,,,,,,,,,,,,,
105,,,,,,,,,,REDUCE 33,,REDUCE 33,REDUCE 33,REDUCE 33,REDUCE 33,REDUCE 33,REDUCE 33,REDUCE 33,REDUCE 33,REDUCE 33,REDUCE 33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,,,,,,,,,,,,,,,,,,,,,,,,,,,REDUCE 28,,,,,,,,,,,,,,,,,,,,,,,
107,,,,,,,,,,REDUCE 36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,,,,,,,,,,REDUCE 36,,REDUCE 36,REDUCE 36,REDUCE 36,REDUCE 36,REDUCE 36,REDUCE 36,REDUCE 36,REDUCE 36,REDUCE 36,REDUCE 36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,,,,,,,,,,REDUCE 39,,REDUCE 39,REDUCE 39,REDUCE 39,REDUCE 39,REDUCE 39,REDUCE 39,REDUCE 39,REDUCE 39,REDUCE 39,REDUCE 39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,,,,,,,,,,REDUCE 40,,REDUCE 40,REDUCE 40,REDUCE 40,REDUCE 40,REDUCE 40,REDUCE 40,REDUCE 40,REDUCE 40,REDUCE 40,REDUCE 40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REDUCE 50,,,,,,,,,,,,,,,,,,,,,
112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REDUCE 51,,,,,,,,,,,,,,,,,,,,,
113,,,,,,,,,,REDUCE 26,,REDUCE 26,REDUCE 26,REDUCE 26,REDUCE 26,REDUCE 26,REDUCE 26,REDUCE 26,REDUCE 26,REDUCE 26,REDUCE 26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
